,z_y_1_iteration,z_y_2_iteration,z_y_3_iteration,z_y_4_iteration,z_y_5_iteration,z_y_6_iteration,z_y_7_iteration,z_y_8_iteration,z_y_9_iteration,z_y_10_iteration,z_y_11_iteration,z_y_12_iteration,z_y_13_iteration,z_y_14_iteration,z_y_15_iteration,z_y_16_iteration,z_y_17_iteration,z_y_18_iteration,z_y_19_iteration,z_y_20_iteration,z_y_21_iteration,z_y_22_iteration,z_y_23_iteration,z_y_24_iteration,z_y_25_iteration,z_y_26_iteration,z_y_27_iteration,z_y_28_iteration,z_y_29_iteration,z_y_30_iteration,z_y_31_iteration,z_y_32_iteration,z_y_33_iteration,z_y_34_iteration,z_y_35_iteration,z_y_36_iteration,z_y_37_iteration,z_y_38_iteration,z_y_39_iteration,z_y_40_iteration,z_y_41_iteration,z_y_42_iteration,z_y_43_iteration,z_y_44_iteration,z_y_45_iteration,z_y_46_iteration,z_y_47_iteration,z_y_48_iteration,z_y_49_iteration,z_y_50_iteration
0,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
1,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
2,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
3,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
4,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
5,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
6,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
7,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
8,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
9,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
10,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
11,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
12,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
13,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
14,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
15,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
16,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
17,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
18,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
19,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
20,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
21,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
22,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
23,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
24,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
25,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
26,0,0,0,1,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,2,0
